facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300603257,REGENTS POINT,HUMANGOOD & HUMANGOOD SOCAL,"FORNEY, MELINDA M",(949) 854-9500,19191 HARVARD AVENUE,IRVINE,CA,92612,ORANGE,22,399,LICENSED,2/23/1982,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,075600335,"REUTLINGER COMMUNITY, THE","REUTLINGER COMMUNITY, THE; ESKATON PROPERTIES INC","MAMMAD, JULIE",(925) 648-2800,4000 CAMINO TASSAJARA,DANVILLE,CA,94526,CONTRA COSTA,15,120,LICENSED,8/19/1999,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,150400536,ROSEWOOD RETIREMENT COMMUNITY,HUMANGOOD & HUMANGOOD NORCAL,"BALABAN, ROCHELLE",(661) 834-0620,1301 NEW STINE ROAD,BAKERSFIELD,CA,93309,KERN,24,220,LICENSED,3/15/1974,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300600816,ROWNTREE GARDENS,"CALIFORNIA FRIENDS HOMES, INC.",CLAUDIA LUSCA-BORCSA,(714) 530-9100,12151 DALE STREET,STANTON,CA,90680,ORANGE,22,280,LICENSED,7/11/1982,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191502216,ROYAL OAKS,HUMANGOOD & HUMANGOOD SOCAL,ANDREW M SMITH,(626) 359-9371,1763 ROYAL OAKS DRIVE,DUARTE,CA,91010,LOS ANGELES,28,250,LICENSED,12/29/1989,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,380540292,SAN FRANCISCO TOWERS,FRONT PORCH COMMUNITIES AND SERVICES,MARK NITSCHE,(415) 776-0500,1661 PINE STREET,SAN FRANCISCO,CA,94109,SAN FRANCISCO,14,350,LICENSED,10/31/1997,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004721,SAN JUAN CAPISTRANO SENIOR LIVING,S-H OPCO SAN JUAN CAPISTRANO; ASRV LLC,JOSEPH FRANZ,(949) 248-8855,31741 RANCHO VIEJO RD,SAN JUAN CAPISTRANO,CA,92675,ORANGE,22,125,CLOSED,8/29/2014,6/1/2021,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435201057,SARATOGA RETIREMENT COMMUNITY,ODD FELLOWS HOME OF CA; GRAND LODGE; PRS MGMT INC,SARAH STEL,(408) 741-7100,14500 FRUITVALE AVENUE,SARATOGA,CA,95070,SANTA CLARA,26,418,LICENSED,7/31/2002,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336424396,SEGOVIA OF PALM DESERT,"SEGOVIA OPERATIONS, OAKMONT SR LVG; OAKMONT MGT GR",ERNIE SHAFFER,(760) 674-3200,39905 VIA SCENA,PALM DESERT,CA,92260,RIVERSIDE,18,182,CLOSED,4/29/2010,9/12/2023,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,331881372,SEGOVIA OF PALM DESERT,WELL OAK CCRC TENANT LLC; OAKMONT MANAGEMENT GROUP,SALVADOR JIMENEZ,(760) 674-3200,39905 VIA SCENA,PALM DESERT,CA,92260,RIVERSIDE,18,182,LICENSED,7/1/2023,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306000889,SENIOR LIVING COMMUNITY FOR THE EASTERN STAR IN CA,EASTERN STAR HOMES OF CALIFORNIA INC.,KAT FARRIS,(714) 577-9281,16850 E. BASTANCHURY ROAD,YORBA LINDA,CA,92886,ORANGE,22,76,LICENSED,12/9/1998,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,410500567,"SEQUOIAS-PORTOLA VALLEY, THE","SEQUOIA LIVING, INC.",SUZANNE WASLEY-FAIRLEY,(650) 851-1501,501 PORTOLA ROAD,PORTOLA VALLEY,CA,94028,SAN MATEO,14,328,LICENSED,11/5/1985,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,380500593,SEQUOIAS SAN FRANCISCO (THE),"SEQUOIA LIVING, INC.",GLEN GODDARD,(415) 922-9700,1400 GEARY BLVD,SAN FRANCISCO,CA,94109,SAN FRANCISCO,14,400,LICENSED,5/21/1975,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198602870,SERENTO CASA,"BRE KNIGHT SH CA OWNER LLC; GENERATIONS-CA, LLC",SARAH SESAY,(909) 394-0304,1740 SAN DIMAS AVENUE,SAN DIMAS,CA,91773,LOS ANGELES,28,131,CLOSED,5/15/2019,4/1/2024,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306005410,SERENTO ROSA,"BRE KNIGHT SH CA OWNER LLC; GENERATIONS-CA, LLC",HRAG BEKERIAN,(714) 777-9666,17803 IMPERIAL HIGHWAY,YORBA LINDA,CA,92886,ORANGE,22,135,CLOSED,6/18/2019,4/1/2024,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100406684,SIERRA VIEW HOMES RESIDENTIAL CARE,"SIERRA VIEW HOMES, INC.","PENNER, VIRGINIA B.",(559) 638-9226,1155 E. SPRINGFIELD,REEDLEY,CA,93654,FRESNO,24,78,LICENSED,3/18/1991,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191802082,SOLHEIM SENIOR COMMUNITY,SOLHEIM LUTHERAN HOME,MEG PIERCE,(323) 257-7518,2236 MERTON AVENUE,LOS ANGELES,CA,90041,LOS ANGELES,31,126,LICENSED,6/22/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,490107656,SPRING LAKE VILLAGE,FRONT PORCH COMMUNITIES AND SERVICES,"KECK, WILLIAM",(707) 538-8400,5555 MONTGOMERY DRIVE,SANTA ROSA,CA,95409,SONOMA,21,679,LICENSED,8/7/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,019200474,STONERIDGE CREEK PLEASANTON,STONERIDGE CREEK PLEASANTON CCRC LLC,EZEKIEL GRIFFIN,(925) 201-4000,3300 STONERIDGE CREEK WAY,PLEASANTON,CA,94588,ALAMEDA,15,828,LICENSED,9/19/2013,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,415600689,"STRATFORD, THE",SUNRISE STRATFORD GP & LP; SUNRISE SENIOR LVG MGT,JANIE WOO,(650) 342-4106,601 LAUREL AVE,SAN MATEO,CA,94401,SAN MATEO,14,96,LICENSED,8/1/2006,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,011400627,ST. PAUL'S TOWERS,FRONT PORCH COMMUNITIES AND SERVICES,"YUEN, CONNIE",(510) 835-4700,100 BAY PLACE,OAKLAND,CA,94610,ALAMEDA,15,320,LICENSED,8/14/1985,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435201317,SUNNY VIEW RETIREMENT COMMUNITY,FRONT PORCH COMMUNITIES AND SERVICES,RYAN GOLZE,(408) 454-5600,22445 CUPERTINO ROAD,CUPERTINO,CA,95014,SANTA CLARA,26,190,LICENSED,5/2/2003,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,210102761,TAMALPAIS,"SEQUOIA LIVING, INC.","TUMBALE, TERENCE",(415) 461-2300,501 VIA CASITAS,GREENBRAE,CA,94904,MARIN,21,341,LICENSED,6/1/1988,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430708050,"TERRACES AT LOS ALTOS, THE",HUMANGOOD & HUMANGOOD NORCAL,"GONZALES, DEBORAH",(650) 948-8291,373 PINE LANE,LOS ALTOS,CA,94022,SANTA CLARA,26,250,LICENSED,2/27/1967,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100400544,"TERRACES AT SAN JOAQUIN GARDENS, THE",HUMANGOOD & HUMANGOOD NORCAL & HUMANGOOD FRESNO,"CASE, ALEXIS",(559) 439-4770,5555 NORTH FRESNO STREET,FRESNO,CA,93710,FRESNO,24,652,LICENSED,2/9/1994,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430708817,"TERRACES OF LOS GATOS, THE",HUMANGOOD & HUMANGOOD NORCAL,PETER MORRIS,(408) 356-1006,800 BLOSSOM HILL ROAD,LOS GATOS,CA,95032,SANTA CLARA,26,458,LICENSED,12/22/1992,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300600977,TOWN & COUNTRY,CHRISTIAN AND MISSIONARY ALLIANCE,SARA MODUGNO,(714) 547-7581,555 E. MEMORY LANE,SANTA ANA,CA,92706,ORANGE,22,328,LICENSED,12/5/1975,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,577001215,UNIVERSITY RETIREMENT COMMUNITY AT DAVIS,UNIVER RETIRE COM AT DAVIS/PACIFIC RETIRE SERVICES,MARIA BURTON,(530) 747-7000,1515 SHASTA DRIVE,DAVIS,CA,95616,YOLO,21,500,LICENSED,2/18/2000,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565800978,UNIVERSITY VILLAGE THOUSAND OAKS,UNIV. VLG. T. OAKS CCRC LLC,DMITRY ESTRIN,(805) 241-3000,3415 CAMPUS DRIVE,THOUSAND OAKS,CA,91360,VENTURA,29,514,LICENSED,9/24/2007,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700411,VALLE VERDE,HUMANGOOD & HUMANGOOD NORCAL,SUSAN E PONCE,(805) 883-4193,900 CALLE DE LOS AMIGOS,SANTA BARBARA,CA,93105,SANTA BARBARA,29,547,LICENSED,9/17/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803049,VARENNA AT FOUNTAINGROVE,"VARENNA LLC, GALLAHER SR LVG; WELLQUEST LIVING LLC","BUOT, FERDINAND",(707) 526-1226,1401 FOUNTAINGROVE PKWY,SANTA ROSA,CA,95403,SONOMA,21,322,LICENSED,5/2/2008,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600675,VI AT LA JOLLA VILLAGE,"CCW LA JOLLA LLC, CC-LA JOLLA INC, CLASSIC RES MGM","BOUDREAU, STEPHANIE",(858) 646-7700,8515 COSTA VERDE BLVD,SAN DIEGO,CA,92122,SAN DIEGO,08,783,LICENSED,7/16/1998,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200930,VI AT PALO ALTO,"CC-PALO ALTO,INC. & CLASSIC RES.MGMT. LTD. PARTNER",JOHN KOSELAK,(650) 853-5000,620 SAND HILL ROAD,PALO ALTO,CA,94304,SANTA CLARA,26,876,LICENSED,6/2/2005,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,079201006,VIAMONTE AT WALNUT CREEK,SEQUOIA LIVING INC,MELODY MITCHELL ALLEN,(925) 954-2600,2801 SHADELANDS DRIVE,WALNUT CREEK,CA,94598,CONTRA COSTA,15,300,LICENSED,12/1/2020,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197602345,VILLA GARDENS,FRONT PORCH COMMUNITIES AND SERVICES,SHAUN RUSHFORTH,(626) 796-8162,842 EAST VILLA STREET,PASADENA,CA,91101,LOS ANGELES,28,340,LICENSED,6/30/1999,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,210108102,VILLA MARIN AMBULATORY CARE UNIT,VILLA MARIN HOMEOWNERS ASSOCIATION,"DURANCZYK, PAUL",(415) 499-8711,100 THORNDALE DRIVE,SAN RAFAEL,CA,94903,MARIN,21,28,LICENSED,,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336403573,"VILLAGE, THE","FREEDOM PROPERTIES HEMET, LLC.",ROB TAKAMI,(951) 766-5116,2200 WEST ACACIA,HEMET,CA,92545,RIVERSIDE,18,452,LICENSED,9/18/2000,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,425800464,VISTA DEL MONTE,"FRONT PORCH COMMUNITIES AND SERVICES, INC.",DOUGLAS TUCKER,(805) 687-0793,3775 MODOC ROAD,SANTA BARBARA,CA,93105,SANTA BARBARA,29,266,LICENSED,7/30/1999,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306000961,WALNUT VILLAGE,FRONT PORCH COMMUNITIES AND SERVICES,DEBORAH INFIELD,(714) 776-7150,891 WALNUT STREET,ANAHEIM,CA,92802,ORANGE,22,334,LICENSED,6/30/1999,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435202504,WEBSTER HOUSE,FRONT PORCH COMMUNITIES AND SERVICES,"SELLECK, TIM",(650) 327-4333,401 WEBSTER STREET,PALO ALTO,CA,94301,SANTA CLARA,26,54,LICENSED,6/1/2015,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197605591,WESTMINSTER GARDENS,HUMANGOOD & HUMANGOOD SOCAL,ANDREW M SMITH,(626) 358-2569,1420 SANTO DOMINGO AVENUE,DUARTE,CA,91010,LOS ANGELES,28,200,LICENSED,5/4/2004,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,372000641,WHITE SANDS LA JOLLA,HUMANGOOD & HUMANGOOD SOCAL,"SMART, SHELLY",(858) 454-4201,7450 OLIVETAS AVE,LA JOLLA,CA,92037,SAN DIEGO,08,299,LICENSED,8/30/1974,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191202190,WINDSOR,HUMANGOOD & HUMANGOOD SOCAL,"BEARCE, GREGORY",(818) 244-7219,1230 EAST WINDSOR ROAD,GLENDALE,CA,91205,LOS ANGELES,31,175,CLOSED,2/1/1978,3/1/2023,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,195850329,WOODLAND HILLS LIFE PLAN COMMUNITY,MULHOLLAND SL OPERATING GP LLC; LIFE CARE SERVICES,TBD,(515) 875-4739,23200 W MULHOLLAND DR,WOODLAND HILLS,CA,91364,LOS ANGELES,29,402,PENDING,,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,405800361,WYNDHAM RESIDENCE,"COMPASS HEALTH, INC.",JODI BELTRAMA,(805) 474-7260,222 S. ELM STREET,ARROYO GRANDE,CA,93420,SAN LUIS OBISPO,29,72,LICENSED,7/24/1998,,05252025
RESIDENTIAL CARE ELDERLY,198603652,1 DUARTE CARE,1 DUARTE CARE INC.,"GASARDZHYAN, OVSEP",(323) 697-4619,2436 EL TORO ROAD,DUARTE,CA,91010,LOS ANGELES,28,4,LICENSED,10/19/2023,,05252025
RESIDENTIAL CARE ELDERLY,565850189,143 WEST SIDLEE LLC,143 WEST SIDLEE LLC,"SARREAL, JOVY",(805) 807-0663,143 WEST SIDLEE STREET,THOUSAND OAKS,CA,91360,VENTURA,29,6,LICENSED,10/4/2021,,05252025
RESIDENTIAL CARE ELDERLY,019200874,1440 BY THE BAY,"EMERYVILLE SR. HSNG, LLC; ATSC II LLC","HALL, STEPHANIE J",(510) 594-8800,1440 40TH STREET,EMERYVILLE,CA,94608,ALAMEDA,15,175,LICENSED,11/4/2019,,05252025
RESIDENTIAL CARE ELDERLY,306006371,14STARS FINAN LLC/HALAL RES ASSIS FAC ELD,SALIM RAZA,"RAZA, SALIM",(657) 293-5844,350 W PARKWOOD AVE,LA HABRA,CA,90631,ORANGE,22,6,CLOSED,,7/24/2023,05252025
RESIDENTIAL CARE ELDERLY,342701401,1INFINITE HOUSE,INFINITE MANAGEMENT GROUP LLC,"JONES, AJA",(916) 534-8351,3837 SUNNYVALE AVE,SACRAMENTO,CA,95821,SACRAMENTO,27,6,CLOSED,10/22/2024,1/24/2025,05252025
RESIDENTIAL CARE ELDERLY,331880995,1LOVE SENIOR LIVING,"MOJICA, FLORENCE A & DY, KHAREN","MOJICA, FLORENCE A",(310) 592-5338,1672 GOLDEN WAY,BEAUMONT,CA,92223,RIVERSIDE,56,6,CLOSED,,10/1/2020,05252025
RESIDENTIAL CARE ELDERLY,197610295,1ST CARING TRADITIONS,1ST CARING TRADITIONS,"MEDEL, REY",(661) 441-0023,3234 TOURNAMENT DRIVE,PALMDALE,CA,93551,LOS ANGELES,31,6,LICENSED,8/2/2022,,05252025
RESIDENTIAL CARE ELDERLY,197610547,1ST CLASS BOARD AND CARE,7 TWO 5 INC,"SAAKIAN, ANNA",(323) 408-9600,9524 ENCINO AVE,NORTHRIDGE,CA,91325,LOS ANGELES,31,6,LICENSED,5/9/2024,,05252025
RESIDENTIAL CARE ELDERLY,197610579,1ST COMPANION RESIDENCE LLC,1ST COMPANION RESIDENCE LLC,"MEDEL, REY RYAN",(213) 447-4802,40341 15TH ST. W,PALMDALE,CA,93551,LOS ANGELES,31,4,LICENSED,10/9/2024,,05252025
RESIDENTIAL CARE ELDERLY,197610451,1ST GOLDEN SENIOR CARE HOME,MERLY DEE,MERLY DEE,(661) 992-1697,1117 ERWIN DRIVE,PALMDALE,CA,93551,LOS ANGELES,31,6,LICENSED,9/19/2023,,05252025
RESIDENTIAL CARE ELDERLY,415600833,1ST PACIFIC COAST HOMES II,DEBORAH M. DAHLEN,DEBORAH M. DAHLEN,(650) 873-8635,2585 ARDEE LANE,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,14,6,LICENSED,4/8/2011,,05252025
RESIDENTIAL CARE ELDERLY,435294219,2 ALL ABOUT SENIORS,"HALL, PATRICK & DEBRA",KENDALL HALL,(408) 483-2433,1474 POMPEY DRIVE,SAN JOSE,CA,95128,SANTA CLARA,26,6,LICENSED,11/21/2006,,05252025
RESIDENTIAL CARE ELDERLY,197610772,2044 W AVENUE H6,2044 WEST CARE MANOR LLC,"ANTONA, MARIAN",(661) 729-5324,2044 W AVENUE H6,LANCASTER,CA,93536,LOS ANGELES,31,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,365530061,247 HOMES,247 HOMES INC.,"ASH, MARIA",(909) 260-7653,967 W. 13TH STREET,UPLAND,CA,91786,SAN BERNARDINO,56,6,CLOSED,2/22/2023,5/22/2023,05252025
RESIDENTIAL CARE ELDERLY,157206652,24/7 RESIDENTIAL CARE HOME,"ALBANDIA, MYRNA",MYRNA ALBANDIA,(661) 398-9394,612 JUMBUCK LANE,BAKERSFIELD,CA,93307,KERN,24,6,CLOSED,6/26/2013,6/10/2022,05252025
RESIDENTIAL CARE ELDERLY,565850198,254 EAST SIDLEE LLC,254 EAST SIDLEE LLC,"SARREAL, JOVY",(905) 807-0663,254 EAST SIDLEE STREET,THOUSAND OAKS,CA,91360,VENTURA,29,6,LICENSED,10/4/2021,,05252025
RESIDENTIAL CARE ELDERLY,565850188,2592 CIRO LLC,2592 CIRO LLC,"SARREAL, JOVY",(805) 493-1968,2592 CIRO AVE,THOUSAND OAKS,CA,91360,VENTURA,29,6,LICENSED,10/4/2021,,05252025
RESIDENTIAL CARE ELDERLY,157209498,"3 ANGELS CARE LLC, THE","3 ANGELS CARE LLC, THE","TUSAW, MYAT",(661) 319-6662,13005 BIRKENFELD AVENUE,BAKERSFIELD,CA,93314,KERN,24,6,LICENSED,10/14/2024,,05252025
RESIDENTIAL CARE ELDERLY,374603018,"3 SISTERS HACIENDA, LLC","3 SISTERS HACIENDA, LLC","AMUNDSON, TAMARA",(760) 294-7996,1911 BEAR VALLEY OAKS,ESCONDIDO,CA,92025,SAN DIEGO,18,6,CLOSED,7/20/2010,8/24/2021,05252025
RESIDENTIAL CARE ELDERLY,374604911,3455-88888,"BAILEY, EVA MARIE","BAILEY, EVA MARIE",(619) 447-2868,2152 VALLEY VIEW,EL CAJON,CA,92019,SAN DIEGO,08,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,306005655,3JEAN'S HOME CARE,CHARM RESIDENTIAL CARE INC.,"ALVARADO, MARY JEAN",(714) 534-3388,8552 BARR LANE,GARDEN GROVE,CA,92840,ORANGE,22,6,CLOSED,1/15/2020,7/25/2022,05252025
RESIDENTIAL CARE ELDERLY,306000638,3K HOME CARE,"MANIMBO, MARIA NELLY G.",MARIA N.G. MANIMBO,(714) 774-8653,700 S. PLYMOUTH PLACE,ANAHEIM,CA,92806,ORANGE,22,6,LICENSED,10/2/1997,,05252025
RESIDENTIAL CARE ELDERLY,197610819,4 ACES ELDERLY CARE,4 ACES ELDERLY CARE INC,"REYES, MARICEL",(661) 350-2232,3920 COBBLE COURT,PALMDALE,CA,93551,LOS ANGELES,31,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,197610201,4 ALL SENIORS CARE HOME,4 ALL SENIORS CARE HOME,"SAMANIEGO, JOHN ROEL",(661) 400-4948,744 VANDALWAY,PALMDALE,CA,93551,LOS ANGELES,31,6,LICENSED,11/9/2021,,05252025
RESIDENTIAL CARE ELDERLY,197607735,4219 W. 162ND STREET HOME,G & C ADULT RESIDENTIAL FACILITY INC.,MELANIE M ESTEPA,(424) 247-8936,4219 W. 162ND STREET,LAWNDALE,CA,90260,LOS ANGELES,11,3,LICENSED,5/4/2009,,05252025
RESIDENTIAL CARE ELDERLY,565850187,451 COLUMBIA LLC,451 COLUMBIA LLC,"SHERMAN, GILLIANA",(805) 807-0663,451 COLUMBIA ROAD,THOUSAND OAKS,CA,91360,VENTURA,29,6,LICENSED,9/30/2021,,05252025
RESIDENTIAL CARE ELDERLY,198320601,4711 LONG BEACH BLVD CARE FACILITY LLC,4711 LONG BEACH BLVD CARE FACILITY LLC,"MEJIA, XUXAN",(562) 556-5884,4711 LONG BEACH BLVD,LONG BEACH,CA,90805,LOS ANGELES,11,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,198603793,4EVER FAITHFUL HOME,MDC RCFE INC,"DUONG, MY MY",(626) 872-0099,183 N FORESTDALE AVE.,COVINA,CA,91723,LOS ANGELES,28,6,CLOSED,,12/30/2024,05252025
RESIDENTIAL CARE ELDERLY,336427431,4J'S ELDERLY CARE INC,4J'S ELDERLY CARE INC,"GATUS, JONIE",(760) 656-1715,69272 TACOMA CT,CATHEDRAL CITY,CA,92234,RIVERSIDE,18,6,LICENSED,11/18/2016,,05252025
RESIDENTIAL CARE ELDERLY,286804062,"4K SENIOR HOME, LLC","4K SENIOR HOME, LLC","HERNANDEZ, MARIA SOCORRO",(707) 226-1293,4147 MAHER STREET,NAPA,CA,94558,NAPA,21,6,LICENSED,6/16/2022,,05252025
RESIDENTIAL CARE ELDERLY,361880978,4MP'S RESIDENTIAL CARE FOR THE ELDERLY,"PANALIGAN, H. MARILOU","PANALIGAN, MARILOU",(909) 258-2085,1155 N. GLENWOOD AVE.,RIALTO,CA,92376,SAN BERNARDINO,56,6,CLOSED,9/8/2020,9/19/2024,05252025
RESIDENTIAL CARE ELDERLY,197609882,4TH GENERATION SENIOR LIVING INC.,4TH GENERATION SENIOR LIVING INC.,"MANAHAN, JASMIN",(747) 226-0923,23259 VICTORY BLVD,WEST HILLS,CA,91307,LOS ANGELES,31,6,LICENSED,10/11/2019,,05252025
RESIDENTIAL CARE ELDERLY,107209366,5 STAR RETIREMENT GROUP CORP,5 STAR RETIREMENT GROUP CORP,"OGANYAN, HASMIK",(818) 261-4887,1577 E. QUINCY AVENUE,FRESNO,CA,93720,FRESNO,24,6,LICENSED,2/6/2024,,05252025
RESIDENTIAL CARE ELDERLY,107209510,5 STAR RETIREMENT GROUP CORP,5 STAR RETIREMENT GROUP CORP,"GEZALYAN, GRETA",(818) 261-4887,9282 N VALLEY GREEN DRIVE,FRESNO,CA,93720,FRESNO,24,6,LICENSED,2/20/2025,,05252025
RESIDENTIAL CARE ELDERLY,107209511,5 STAR RETIREMENT GROUP CORP,5 STAR RETIREMENT GROUP CORP,"GEZALYAN, GRETA",(818) 261-4887,1651 E JORDAN AVE,FRESNO,CA,93720,FRESNO,24,6,LICENSED,2/20/2025,,05252025
RESIDENTIAL CARE ELDERLY,195850563,7 HEAVEN,7 HEAVEN INC,"NSHANIAN, HERMINE",(818) 732-7378,6215 BLUEBELL AVENUE,NORTH HOLLYWOOD,CA,91606,LOS ANGELES,29,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,197609759,7 HILLS SENIOR LIVING,7 HILLS SENIOR LIVING INC,"SIMITYAN, ARMENUI",(818) 438-8613,7112 OWENS ST,TUJUNGA,CA,91042,LOS ANGELES,31,6,LICENSED,7/23/2019,,05252025
RESIDENTIAL CARE ELDERLY,342700782,"7121 MAIN, LLC","7121 MAIN, LLC","COLEMAN, ROBERT",(707) 592-4004,7121 MAIN AVE,ORANGEVALE,CA,95662,SACRAMENTO,59,6,LICENSED,10/12/2020,,05252025
RESIDENTIAL CARE ELDERLY,565850195,9 WEST SIDLEE LLC,9 WEST SIDLEE LLC,"SHERMAN, GILLIANA",(818) 300-1404,9 WEST SIDLEE ST,THOUSAND OAKS,CA,91360,VENTURA,29,6,LICENSED,10/1/2021,,05252025
RESIDENTIAL CARE ELDERLY,385600167,9TH AVENUE COMMUNITY CARE HOME,COMMUNITY WORKS FOR CREATIVE LIVING,"DIMAYUGA, A & VALENCIANO,",(415) 759-5825,1730 - 9TH AVENUE,SAN FRANCISCO,CA,94122,SAN FRANCISCO,14,6,LICENSED,3/1/2003,,05252025
RESIDENTIAL CARE ELDERLY,195850493,A'MORECARE HOME ASSISTED LIVING,SUNDARA MUSE LLC,"SINGH, JAGDEEP",(818) 704-0012,23511 BERDON STREET,WOODLAND HILLS,CA,91367,LOS ANGELES,29,6,CLOSED,,4/11/2024,05252025
RESIDENTIAL CARE ELDERLY,195850173,A'MORECARE HOME ASSISTED LIVING,A'MORE CARE HOME ASSISTED LIVING,ANNETTE AMIRKHANIAN,(818) 704-0012,23511 BERDON STREET,WOODLAND HILLS,CA,91367,LOS ANGELES,29,6,CLOSED,9/29/2021,4/11/2024,05252025
RESIDENTIAL CARE ELDERLY,197609109,A'MORECARE HOME ASSISTED LIVING,A'MORECARE HOME ASSISTED LIVING,"ELKAYAM, EDVA",(818) 642-8585,23511 BERDON STREET,WOODLAND HILLS,CA,91367,LOS ANGELES,29,6,CLOSED,6/28/2017,9/30/2021,05252025
RESIDENTIAL CARE ELDERLY,195850562,A'ONE VILLA ASSISTED LIVING,SUNDARA MUSE LLC,"SINGH, JAGDEEP",(818) 704-0012,23511 BERDON STREET,WOODLAND HILLS,CA,91367,LOS ANGELES,29,6,LICENSED,2/18/2025,,05252025
RESIDENTIAL CARE ELDERLY,195850206,A'VILLA,A'VILLA INC,"HAKOBYAN, ANNA",(310) 435-1445,6532 GLORIA AVE.,LAKE BALBOA,CA,91406,LOS ANGELES,29,6,LICENSED,4/11/2022,,05252025
RESIDENTIAL CARE ELDERLY,197609876,A-1 ASCENDED SENIOR CARE,A-1 ASCENDED SENIOR CARE INC.,"TOPCHYAN, HARUT",(818) 667-4915,16444 GERMAIN STREET,GRANADA HILLS,CA,91344,LOS ANGELES,31,6,LICENSED,11/1/2019,,05252025
RESIDENTIAL CARE ELDERLY,197610566,A-1 ASCENDED SENIOR CARE 2,A-1 ASCENDED SENIOR CARE 2 INC.,"TOPCHYAN, HARUT",(818) 667-4915,19911 VINTAGE STREET,CHATSWORTH,CA,91311,LOS ANGELES,31,6,LICENSED,4/23/2024,,05252025
RESIDENTIAL CARE ELDERLY,197610563,A-1 ASCENDED SENIOR CARE 3,A-1 ASCENDED SENIOR CARE 3 INC.,AIDA MANUKYAN,(818) 268-6707,20022 VINTAGE STREET,CHATSWORTH,CA,91311,LOS ANGELES,31,6,LICENSED,4/30/2024,,05252025
RESIDENTIAL CARE ELDERLY,195850075,A-1 BOARDING CARE,"A-1 BOARDING CARE, INC.",HOVHANNES ISPIRYAN,(818) 691-3146,6511 BONNER AVE.,N. HOLLYWOOD,CA,91606,LOS ANGELES,29,6,LICENSED,11/12/2020,,05252025
